id;edad;sexo;municipio;trabajo_actual;educación;tipo_universidad;tipo_dispositivo_rrss;top1_rrss;top2_rrss;top3_rrss;top4_rrss;top5_rrss;internet_fijo;calidad_internet_fijo;fallas_servicio;internet_fijo_positivo;internet_fijo_negativo;fallo_internet_reestablecimiento;tipo_empresa_internet_fijo;cambio_proveedor_reciente;medida_secundaria_fallo_internet_fijo;pago_internet_dolares;acceso_celular_rrss;calidad_navegacion_movil;navegacion_movil_positivo;navegacion_movil_negativo;fac1_ars;fac2_ars;fac3_ars;area_interperso;area_personal_corporal;fac1_bsq;fac2_bsq;fac3_bsq
1;21;Femenino;Municipio Sucre;Sí;Bachiller;Privada;Celular;Instagram;TikTok;Whatsapp;Facebook;Twitter;No;Muy mala;Todos los días;Otro;Nunca tengo internet;3 meses o más;Privada;No;Internet satelital;Sí;Sí;Se ha mantenido igual;Siempre tengo señal y datos;Los megas siempre se me acaban;-1,791839358;-0,256758631;-1,182248388;-1,676774182;1,535835801;0,862365898;-1,011218203;1,320892081
2;22;Femenino;Municipio Sucre;Sí;Bachiller;Privada;Celular, Laptop (Portátil);Whatsapp;Instagram;Facebook;TikTok;Twitter;Sí;Buena;Casi nunca;La navegación es rápida;Hago reclamos y nunca solucionan mis problemas;El mismo día;Pública;No;Con datos móviles;No;Sí;Se ha mantenido igual;Todo se descarga rápido y sin interrupciones;Los megas son muy caros;-1,87014702;-0,563146961;0,514739757;0,042367706;0,7453482;-0,602861374;-1,278470163;4,076000223
3;22;Masculino;Municipio Libertador;Sí;Técnico Superior Universitario (TSU);Privada;Celular, Laptop (Portátil);Facebook;TikTok;Twitter;Instagram;Whatsapp;Sí;Regular hacia buena;Casi nunca;La navegación es rápida;La señal se cae constantemente;El mismo día;Privada;Sí;Con datos móviles;Sí;Sí;Se ha mantenido igual;Los datos nunca se me acaban;Navega muy lento;0,633725621;0,413290886;0,570996185;1,15854911;0,585511055;-0,247652554;-0,419765451;-0,323111182
4;21;Masculino;Municipio Chacao;Sí;Bachiller;Pública;Celular, Computadora Fija, Laptop (Portátil);Whatsapp;Instagram;TikTok;Twitter;Facebook;Sí;Buena;Casi nunca;La navegación es rápida;El servicio es muy caro;El mismo día;Privada;Sí;Internet satelital;Sí;Sí;Ha mejorado;Otro;Los megas son muy caros;-1,552673171;-1,479571006;-0,713661732;-0,454822769;1,159301853;-0,345027459;-0,280478705;-0,731107319
5;23;Masculino;Municipio Libertador;No;Bachiller;Privada;Celular;Whatsapp;Instagram;Twitter;TikTok;Facebook;Sí;Regular hacia buena;Casi nunca;La navegación es rápida;Hago reclamos y nunca solucionan mis problemas;El mismo día;Privada;Sí;Con datos móviles;Sí;Sí;Ha empeorado;Navego sin problemas;Los megas siempre se me acaban;-0,726019963;-0,733409693;-0,036913194;-0,36482312;1,29824364;-0,029342936;-0,307673624;-0,554630213
6;25;Masculino;Municipio Libertador;Sí;Bachiller;Privada;Celular;Instagram;Whatsapp;TikTok;Twitter;Whatsapp;Sí;Regular hacia mala;Casi nunca;Siempre tengo internet;La navegación es muy lenta;El mismo día;Pública;No;Con datos móviles;No;Sí;Se ha mantenido igual;Siempre tengo señal y datos;Los megas son muy caros;1,220055378;-0,74162286;-0,633195579;0,932933853;0,296947567;0,010133651;-0,955883063;0,7452361
7;24;Femenino;Municipio Baruta;No;Bachiller;Privada;Celular;Instagram;Twitter;TikTok;Facebook;Facebook;Sí;Regular hacia mala;Todos los días;Siempre tengo internet;La navegación es muy lenta;El mismo día;Privada;No;Con datos móviles;No;Sí;Se ha mantenido igual;Siempre tengo señal y datos;Otro;-0,295825177;-0,097956864;-0,294650276;-1,631807634;1,488551049;0,426803681;0,471375207;1,403379978
8;23;Masculino;Municipio Sucre;No;Bachiller;Privada;Celular;Whatsapp;Twitter;Facebook;TikTok;Instagram;Sí;Muy buena;Casi nunca;Siempre tengo internet;La navegación es muy lenta;El mismo día;Privada;No;Internet satelital;Sí;Sí;Se ha mantenido igual;No lo considero positivo por ninguna de las razones anteriores;No lo considero negativo por ninguna de las opciones anteriores;3,08651571;1,075991832;1,01304395;-1,173215843;0,336103807;2,533568849;-0,739378184;-1,464292438
9;23;Masculino;Municipio El Hatillo;No;Bachiller;Privada;Celular, Computadora Fija;Instagram;TikTok;Whatsapp;Twitter;Facebook;Sí;Mala;Todos los días;Otro;La señal se cae constantemente;Entre 1 y 2 días;Pública;Sí;Con datos móviles;No;Sí;Ha empeorado;No lo considero positivo por ninguna de las razones anteriores;Los megas siempre se me acaban;-0,367301761;0,1788124;-0,132313491;-2,218208953;0,872499824;-0,100657467;-0,652916401;-0,641167877
10;22;Femenino;Municipio Libertador;Sí;Bachiller;Privada;Celular;Instagram;TikTok;Whatsapp;Twitter;Facebook;Sí;Regular hacia buena;Casi nunca;La navegación es rápida;Hago reclamos y nunca solucionan mis problemas;El mismo día;Privada;Sí;Internet satelital;Sí;Sí;Ha mejorado;Los datos nunca se me acaban;No lo considero negativo por ninguna de las opciones anteriores;1,187385784;0,803133046;0,129494369;0,756343299;1,056955909;-0,727542366;-0,486793335;0,171128981
